category,subcategory,recipe_id,recipe_name,quantity,unit,ingredient_name,directions
Dessert,Cake,1,Banana Cake,0.5,cup,shortening,Bake in three layer pans at 350 degrees.
Dessert,Cake,1,Banana Cake,1.5,cups,sugar,
Dessert,Cake,1,Banana Cake,2,,eggs,
Dessert,Cake,1,Banana Cake,pinch,,salt,
Dessert,Cake,1,Banana Cake,0.5,cup,sour milk,
Dessert,Cake,1,Banana Cake,1,tsp,soda water,
Dessert,Cake,1,Banana Cake,1.75,cups,flour,
Dessert,Cake,1,Banana Cake,1.5,tsp,baking powder,
Dessert,Cake,1,Banana Cake,0.5,cup,chopped nuts,
Dessert,Cake,2,Blueberry Coffee Cake,12,ounces,cream cheese,"Mix butter, 1 cup sugar, flour, 2 eggs, 2 tsp vanilla, baking powder, and milk to make cake batter. Blend easily. Add 3 cups of blueberries. Put 2.5 cups of batter in pan. Mix cream cheese, 1/2 cup sugar, 1 egg, lemon juice and 1 tsp vanilla to make filling. Put filling on top of batter. Top with remaining batter. Make streusel topping from flour, butter, brown sugar, ad cinnamon. Sprinkle on top of cake. Bake at 375 degrees for 1 hour and 5 minutes. Check after 50 minutes."
Dessert,Cake,2,Blueberry Coffee Cake,1.5,cups,sugar,
Dessert,Cake,2,Blueberry Coffee Cake,3,,eggs,
Dessert,Cake,2,Blueberry Coffee Cake,1,tbps,lemon juice,
Dessert,Cake,2,Blueberry Coffee Cake,3,tsp,vanilla,
Dessert,Cake,2,Blueberry Coffee Cake,0.25,cup,butter,
Dessert,Cake,2,Blueberry Coffee Cake,4,cups,flour,
Dessert,Cake,2,Blueberry Coffee Cake,1,tbsp,baking powder,
Dessert,Cake,2,Blueberry Coffee Cake,1,cup,milk,
Dessert,Cake,2,Blueberry Coffee Cake,3,cups,blueberries,
Dessert,Cake,3,Chocolate Cake,0.5,cup,margarine,Mix all ingredients together. Pour in 1 cup boiling water. Mix well. Bake about 35 minutes at 375 degrees.
Dessert,Cake,3,Chocolate Cake,2,cups,sugar,
Dessert,Cake,3,Chocolate Cake,2,,eggs,
Dessert,Cake,3,Chocolate Cake,5,tbsp,cocoa,
Dessert,Cake,3,Chocolate Cake,0.5,tsp,salt,
Dessert,Cake,3,Chocolate Cake,0.5,cup,sour milk,
Dessert,Cake,3,Chocolate Cake,2,tsp,baking soda,
Dessert,Cake,3,Chocolate Cake,2,cups,flour,
Dessert,Cake,3,Chocolate Cake,0.5,tsp,cloves,
Dessert,Cake,3,Chocolate Cake,1,tsp,vanilla,
Dessert,Cake,4,Chocolate Mayonaise Cake,3,cups,flour,Makes 2 layer cake.
Dessert,Cake,4,Chocolate Mayonaise Cake,1.5,cups,sugar,
